date,value
1958-03-01,314.62
1958-04-01,315.29
1958-05-01,314.71
1958-06-01,314.85
1958-07-01,314.98
1958-08-01,315.94
1958-09-01,315.91
1958-10-01,315.61
1958-11-01,315.31
1958-12-01,315.61
1959-01-01,315.7
1959-02-01,315.88
1959-03-01,315.62
1959-04-01,315.56
1959-05-01,315.5
1959-06-01,315.92
1959-07-01,315.66
1959-08-01,315.81
1959-09-01,316.55
1959-10-01,316.19
1959-11-01,316.78
1959-12-01,316.52
1960-01-01,316.51
1960-02-01,316.47
1960-03-01,316.49
1960-04-01,316.86
1960-05-01,317.24
1960-06-01,317.36
1960-07-01,317.3
1960-08-01,316.92
1960-09-01,316.87
1960-10-01,316.76
1960-11-01,316.98
1960-12-01,317.13
1961-01-01,317.03
1961-02-01,317.28
1961-03-01,317.47
1961-04-01,317.27
1961-05-01,317.7
1961-06-01,317.48
1961-07-01,317.7
1961-08-01,317.8
1961-09-01,317.49
1961-10-01,318.35
1961-11-01,318.13
1961-12-01,317.94
1962-01-01,318.06
1962-02-01,318.11
1962-03-01,318.57
1962-04-01,318.45
1962-05-01,318.2
1962-06-01,318.27
1962-07-01,318.67
1962-08-01,318.48
1962-09-01,319.03
1962-10-01,318.33
1962-11-01,318.62
1962-12-01,318.61
1963-01-01,318.91
1963-02-01,318.68
1963-03-01,318.69
1963-04-01,319.09
1963-05-01,319.39
1963-06-01,319.16
1963-07-01,318.77
1963-08-01,318.83
1963-09-01,319.06
1963-10-01,319
1963-11-01,319.1
1963-12-01,319.25
1964-01-01,319.67
1964-02-01,319.61
1964-03-01,319.55
1964-04-01,319.48
1964-05-01,319.42
1964-06-01,319.69
1964-07-01,319.58
1964-08-01,319.81
1964-09-01,319.56
1964-10-01,319.78
1964-11-01,319.72
1964-12-01,319.59
1965-01-01,319.48
1965-02-01,319.97
1965-03-01,319.65
1965-04-01,319.8
1965-05-01,319.36
1965-06-01,319.65
1965-07-01,320.51
1965-08-01,319.93
1965-09-01,320.68
1965-10-01,320.36
1965-11-01,320.87
1965-12-01,320.26
1966-01-01,320.63
1966-02-01,321.1
1966-03-01,321.16
1966-04-01,321.51
1966-05-01,321.18
1966-06-01,321.52
1966-07-01,321.49
1966-08-01,321.5
1966-09-01,321.54
1966-10-01,321.18
1966-11-01,321.84
1966-12-01,321.95
1967-01-01,322.07
1967-02-01,321.94
1967-03-01,321.72
1967-04-01,322.05
1967-05-01,322.27
1967-06-01,321.94
1967-07-01,321.66
1967-08-01,322.04
1967-09-01,322.19
1967-10-01,322.36
1967-11-01,322.78
1967-12-01,322.86
1968-01-01,322.55
1968-02-01,322.56
1968-03-01,322.59
1968-04-01,322.73
1968-05-01,322.87
1968-06-01,323.2
1968-07-01,323.25
1968-08-01,323.15
1968-09-01,323.31
1968-10-01,323.32
1968-11-01,323.32
1968-12-01,323.69
1969-01-01,323.98
1969-02-01,323.89
1969-03-01,324.41
1969-04-01,324.35
1969-05-01,324.57
1969-06-01,324.63
1969-07-01,325.08
1969-08-01,324.8
1969-09-01,325.28
1969-10-01,324.84
1969-11-01,324.78
1969-12-01,324.88
1970-01-01,325.04
1970-02-01,325.42
1970-03-01,325.69
1970-04-01,325.86
1970-05-01,325.27
1970-06-01,325.52
1970-07-01,325.51
1970-08-01,325.76
1970-09-01,325.93
1970-10-01,326.15
1970-11-01,325.96
1970-12-01,326.06
1971-01-01,326.25
1971-02-01,326.1
1971-03-01,325.94
1971-04-01,325.47
1971-05-01,326.11
1971-06-01,326.4
1971-07-01,326.45
1971-08-01,326.49
1971-09-01,326.19
1971-10-01,326.58
1971-11-01,326.82
1971-12-01,327.02
1972-01-01,326.85
1972-02-01,327.04
1972-03-01,326.53
1972-04-01,327.42
1972-05-01,327.23
1972-06-01,326.92
1972-07-01,327.2
1972-08-01,327.37
1972-09-01,327.76
1972-10-01,328.06
1972-11-01,328.5
1972-12-01,328.55
1973-01-01,328.58
1973-02-01,328.86
1973-03-01,328.99
1973-04-01,329.14
1973-05-01,329.62
1973-06-01,329.94
1973-07-01,330.05
1973-08-01,330.42
1973-09-01,330.45
1973-10-01,330.23
1973-11-01,330.16
1973-12-01,329.66
1974-01-01,329.45
1974-02-01,330.12
1974-03-01,330.2
1974-04-01,330.26
1974-05-01,330.27
1974-06-01,329.94
1974-07-01,330.23
1974-08-01,330.26
1974-09-01,330.28
1974-10-01,330.36
1974-11-01,330.28
1974-12-01,330.55
1975-01-01,330.89
1975-02-01,330.93
1975-03-01,330.54
1975-04-01,330.67
1975-05-01,330.98
1975-06-01,331.2
1975-07-01,331.12
1975-08-01,331.11
1975-09-01,331.48
1975-10-01,331.46
1975-11-01,331.41
1975-12-01,331.6
1976-01-01,331.79
1976-02-01,332.2
1976-03-01,332.05
1976-04-01,332.13
1976-05-01,331.84
1976-06-01,331.65
1976-07-01,332.14
1976-08-01,331.88
1976-09-01,331.94
1976-10-01,331.92
1976-11-01,332.29
1976-12-01,332.66
1977-01-01,332.76
1977-02-01,332.51
1977-03-01,333.35
1977-04-01,333.51
1977-05-01,333.98
1977-06-01,333.8
1977-07-01,334.02
1977-08-01,333.91
1977-09-01,334.36
1977-10-01,334.52
1977-11-01,334.64
1977-12-01,334.61
1978-01-01,335.01
1978-02-01,334.58
1978-03-01,335
1978-04-01,335.06
1978-05-01,335.06
1978-06-01,335.59
1978-07-01,335.57
1978-08-01,335.87
1978-09-01,335.51
1978-10-01,335.68
1978-11-01,335.99
1978-12-01,335.88
1979-01-01,336.22
1979-02-01,336.01
1979-03-01,336.54
1979-04-01,336.24
1979-05-01,336.21
1979-06-01,336.84
1979-07-01,336.72
1979-08-01,337.24
1979-09-01,337.2
1979-10-01,337.53
1979-11-01,337.57
1979-12-01,337.79
1980-01-01,338.09
1980-02-01,337.82
1980-03-01,338.43
1980-04-01,338.3
1980-05-01,338.43
1980-06-01,338.84
1980-07-01,338.54
1980-08-01,339.12
1980-09-01,339.33
1980-10-01,339.42
1980-11-01,339.42
1980-12-01,339.26
1981-01-01,339.38
1981-02-01,339.93
1981-03-01,340.06
1981-04-01,339.94
1981-05-01,339.98
1981-06-01,340.07
1981-07-01,339.92
1981-08-01,339.86
1981-09-01,340.17
1981-10-01,340.43
1981-11-01,340.74
1981-12-01,340.79
1982-01-01,341.1
1982-02-01,341.1
1982-03-01,341.21
1982-04-01,341.37
1982-05-01,341.56
1982-06-01,341.35
1982-07-01,341.55
1982-08-01,341.51
1982-09-01,341.47
1982-10-01,341.65
1982-11-01,341.73
1982-12-01,341.79
1983-01-01,341.84
1983-02-01,342.32
1983-03-01,341.82
1983-04-01,342.66
1983-05-01,342.87
1983-06-01,343.15
1983-07-01,343.44
1983-08-01,343.66
1983-09-01,343.49
1983-10-01,343.72
1983-11-01,343.71
1983-12-01,343.96
1984-01-01,344.2
1984-02-01,344.22
