date,value
2016-12-06,1.81
2016-11-06,1.93
2016-10-06,1.89
2016-09-06,1.87
2016-08-06,1.98
2016-07-06,1.83
2016-06-06,1.76
2016-05-06,1.93
2016-04-06,2.09
2016-03-06,2.3
2016-02-06,2.35
2016-01-06,2.17
2015-12-06,2.11
2015-11-06,2.04
2015-10-06,2.06
2015-09-06,1.81
2015-08-06,1.78
2015-07-06,1.71
2015-06-06,1.78
2015-05-06,1.78
2015-04-06,1.74
2015-03-06,1.9
2015-02-06,1.86
2015-01-06,1.81
2014-12-06,1.79
2014-11-06,1.67
2014-10-06,1.85
2014-09-06,1.9
2014-08-06,1.82
2014-07-06,1.57
2014-06-06,1.66
2014-05-06,1.87
2014-04-06,1.78
2014-03-06,1.77
2014-02-06,1.51
2014-01-06,1.73
2013-12-06,1.67
2013-11-06,1.81
2013-10-06,1.69
2013-09-06,1.78
2013-08-06,1.66
2013-07-06,1.59
2013-06-06,1.65
2013-05-06,1.61
2013-04-06,1.52
2013-03-06,1.66
2013-02-06,1.55
2013-01-06,1.68
2012-12-06,1.53
2012-11-06,1.75
2012-10-06,1.78
2012-09-06,1.76
2012-08-06,1.63
2012-07-06,1.57
2012-06-06,1.62
2012-05-06,1.76
2012-04-06,1.69
2012-03-06,1.58
2012-02-06,1.49
2012-01-06,1.46
2011-12-06,1.54
2011-11-06,1.56
2011-10-06,1.66
2011-09-06,1.56
2011-08-06,1.73
2011-07-06,1.73
2011-06-06,1.59
2011-05-06,1.53
2011-04-06,1.65
2011-03-06,1.64
2011-02-06,1.53
2011-01-06,1.51
2010-12-06,1.49
2010-11-06,1.79
2010-10-06,1.71
2010-09-06,1.61
2010-08-06,1.65
2010-07-06,1.62
2010-06-06,1.64
2010-05-06,1.75
2010-04-06,1.87
2010-03-06,1.92
2010-02-06,1.78
2010-01-06,1.73
2009-12-06,1.65
2009-11-06,1.77
2009-10-06,1.64
2009-09-06,1.7
2009-08-06,1.66
2009-07-06,1.72
2009-06-06,1.65
2009-05-06,1.65
2009-04-06,1.61
2009-03-06,1.53
2009-02-06,1.53
2009-01-06,1.62
2008-12-06,1.54
2008-11-06,1.66
2008-10-06,1.67
2008-09-06,1.65
2008-08-06,1.44
2008-07-06,1.6
2008-06-06,1.48
2008-05-06,1.51
2008-04-06,1.53
2008-03-06,1.73
2008-02-06,1.36
2008-01-06,1.24
2007-12-06,1.5
2007-11-06,1.57
2007-10-06,1.6
2007-09-06,1.64
2007-08-06,1.6
2007-07-06,1.62
2007-06-06,1.58
2007-05-06,1.67
2007-04-06,1.76
2007-03-06,1.7
2007-02-06,1.7
2007-01-06,1.96
2006-12-06,1.77
2006-11-06,1.72
2006-10-06,1.69
2006-09-06,1.64
2006-08-06,1.72
2006-07-06,1.54
2006-06-06,1.64
2006-05-06,1.47
2006-04-06,1.5
2006-03-06,1.63
2006-02-06,1.7
2006-01-06,1.57
2005-12-06,1.68
2005-11-06,1.76
2005-10-06,1.8
2005-09-06,1.78
2005-08-06,1.63
2005-07-06,1.66
2005-06-06,1.67
2005-05-06,1.65
2005-04-06,1.69
2005-03-06,1.69
2005-02-06,1.58
2005-01-06,1.72
2004-12-06,1.52
2004-11-06,1.72
2004-10-06,1.66
2004-09-06,1.53
2004-08-06,1.45
2004-07-06,1.26
2004-06-06,1.43
2004-05-06,1.42
2004-04-06,1.62
2004-03-06,1.64
2004-02-06,1.71
2004-01-06,1.59
2003-12-06,1.75
